address,state,provAbortion,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code
"2425 Randleman Road, Greensboro, NC 27406",NC,Provides Abortions,36.036509,-79.799126,1,rooftop,2425,Randleman Rd,,,Greensboro,NC,Guilford County,27406,US,Guilford,2018,37,37081,Greensboro,3728000,12604,4014,4,3.7081E+14,37081012604,"Greensboro-High Point, NC",24660,metropolitan,"Greensboro--Winston-Salem--High Point, NC",268,,
"3305 Drake Circle, Raleigh, NC, 27607",NC,Provides Abortions,35.814447,-78.694195,1,rooftop,3305,Drake Cir,,,Raleigh,NC,Wake County,27607,US,Cary,2018,37,37183,Raleigh,3755000,52504,1002,1,3.71831E+14,37183052504,"Raleigh, NC",39580,metropolitan,"Raleigh-Durham-Chapel Hill, NC",450,,
"1125 E 17th St, Suite East-108, Santa Ana, CA 92701",CA,Provides Abortions,33.761496,-117.854833,0.99,rooftop,1125,E 17th St,Ste,EA,Santa Ana,CA,Orange County,92706,US,Orange,2018,6,6059,Santa Ana,669000,75404,3004,3,6.05908E+13,6059075404,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Anaheim-Santa Ana-Irvine, CA",11244
"7908 W. Sahara Ave., Las Vegas, NV 89117",NV,Provides Abortions,36.144795,-115.263645,1,rooftop,7908,W Sahara Ave,,,Las Vegas,NV,Clark County,89117,US,Las Vegas,2018,32,32003,Las Vegas,3240000,2915,3016,3,3.2003E+14,32003002915,"Las Vegas-Henderson-Paradise, NV",29820,metropolitan,"Las Vegas-Henderson, NV-AZ",332,,
"1670 East Flamingo Road, Suite C, Las Vegas, NV 89119",NV,Provides Abortions,36.115521,-115.13066,1,rooftop,1670,E Flamingo Rd,Ste,C,Las Vegas,NV,Clark County,89119,US,Las Vegas,2018,32,32003,Paradise,3254600,2501,3008,3,3.2003E+14,32003002501,"Las Vegas-Henderson-Paradise, NV",29820,metropolitan,"Las Vegas-Henderson, NV-AZ",332,,
"2505 N. Shepherd Dr. St. 201, Houston, TX 77008",TX,Provides Abortions,29.809083,-95.410493,1,rooftop,2505,N Shepherd Dr,,201,Houston,TX,Harris County,77008,US,Greater Houston,2018,48,48201,Houston,4835000,511500,6011,6,4.82015E+14,48201511500,"Houston-The Woodlands-Sugar Land, TX",26420,metropolitan,"Houston-The Woodlands, TX",288,,
"10 Southwest 44th Avenue, Plantation, FL 33317",FL,Provides Abortions,26.120624,-80.20652,1,rooftop,10,SW 44th Ave,,,Plantation,FL,Broward County,33317,US,Statewide2,2018,12,12011,Plantation,1257425,60801,1004,1,1.20111E+14,12011060801,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",22744
"516 Easton Ave, Somerset, NJ 08873",NJ,Provides Abortions,40.50513,-74.468118,1,rooftop,516,Easton Ave,,,Somerset,NJ,Somerset County,8873,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2018,34,34035,East Franklin,3419130,53200,1001,1,3.40351E+14,34035053200,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"Newark, NJ-PA",35084
"800 2nd Avenue, 6th Floor, New York, NY 10017",NY,Provides Abortions,40.750103,-73.97177,1,rooftop,800,2nd Ave,Fl,6,New York,NY,New York County,10017,US,City of New York,2018,36,36061,New York,3651000,8800,1005,1,3.6061E+14,36061008800,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"2453 Wilcox Drive, Norman, OK 73069",OK,Provides Abortions,35.206215,-97.478553,1,rooftop,2453,Wilcox Dr,,,Norman,OK,Cleveland County,73069,US,City of Norman,2018,40,40027,Norman,4052500,201000,3003,3,4.00272E+14,40027201000,"Oklahoma City, OK",36420,metropolitan,"Oklahoma City-Shawnee, OK",416,,
"10401 Old Georgetown Road, Suite 104, Bethesda, MD 20814",MD,Provides Abortions,39.026461,-77.125281,1,rooftop,10401,Old Georgetown Rd,Ste,104,Bethesda,MD,Montgomery County,20814,US,Montgomery,2018,24,24031,North Bethesda,2456337,704401,2000,2,2.40317E+14,24031704401,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,"Silver Spring-Frederick-Rockville, MD",43524
"1615 East Osborn Road, Phoenix, AZ 85016",AZ,Provides Abortions,33.487187,-112.046861,1,rooftop,1615,E Osborn Rd,,,Phoenix,AZ,Maricopa County,85016,US,Maricopa,2018,4,4013,Phoenix,455000,110701,2007,2,4.01311E+13,4013110701,"Phoenix-Mesa-Scottsdale, AZ",38060,metropolitan,,,,
"2742 S.W. 8th Street Suite #20, Miami, FL 33135",FL,Provides Abortions,25.764723,-80.239569,1,rooftop,2742,SW 8th St,Ste,20,Miami,FL,Miami-Dade County,33135,US,Miami2,2018,12,12086,Miami,1245000,6301,1000,1,1.2086E+14,12086006301,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Miami-Miami Beach-Kendall, FL",33124
"1428 N. Farwell Avenue, Milwaukee, WI 53202",WI,Provides Abortions,43.048446,-87.896193,1,rooftop,1428,N Farwell Ave,,,Milwaukee,WI,Milwaukee County,53202,US,City of Milwaukee,2018,55,55079,Milwaukee,5553000,187000,2003,2,5.50792E+14,55079187000,"Milwaukee-Waukesha-West Allis, WI",33340,metropolitan,"Milwaukee-Racine-Waukesha, WI",376,,
"1011 Monticello Court, Montgomery, AL 36117",AL,Provides Abortions,32.366339,-86.203068,1,rooftop,1011,Monticello Ct,,,Montgomery,AL,Montgomery County,36117,US,Montgomery,2018,1,1101,Montgomery,151000,5403,2003,2,1.10101E+13,1101005403,"Montgomery, AL",33860,metropolitan,,,,
"7402 John Smith Dr, #101, San Antonio, TX 78229",TX,Provides Abortions,29.50715,-98.584767,1,rooftop,7402,John Smith Dr,#,101,San Antonio,TX,Bexar County,78229,US,San Antonio,2018,48,48029,San Antonio,4865000,181402,2008,2,4.80292E+14,48029181402,"San Antonio-New Braunfels, TX",41700,metropolitan,,,,
"5999 Stevenson Ave. Suite 403, Alexandria, VA 22304",VA,Provides Abortions,38.813186,-77.136602,1,rooftop,5999,Stevenson Ave,Ste,403,Alexandria,VA,Alexandria city,22304,US,City of Alexandria,2018,51,51510,Alexandria,5101000,200406,1003,1,5.15102E+14,51510200406,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47894
"737 Spokane Avenue, Whitefish, MT 59937",MT,Provides Abortions,48.40445,-114.33497,1,rooftop,737,Spokane Ave,,,Whitefish,MT,Flathead County,59937,US,Flathead,2018,30,30029,Whitefish,3079825,401,4015,4,3.0029E+14,30029000401,"Kalispell, MT",28060,micropolitan,,,,
"401 Castle Creek Road, Aspen, CO 81611",CO,Provides Abortions,39.190477,-106.839311,1,rooftop,401,Castle Creek Rd,,,Aspen,CO,Pitkin County,81611,US,Pitkin,2018,8,8097,Aspen,803620,402,1047,1,8.097E+13,8097000402,"Glenwood Springs, CO",24060,micropolitan,"Edwards-Glenwood Springs, CO",233,,
"1450 E Valley Rd, Basalt, CO 81621",CO,Provides Abortions,39.374682,-107.076906,1,rooftop,1450,E Valley Rd,,,Basalt,CO,Eagle County,81621,US,Eagle,2018,8,8037,Basalt,804935,301,1049,1,8.037E+13,8037000301,"Edwards, CO",20780,micropolitan,"Edwards-Glenwood Springs, CO",233,,
"444 Community Drive, LL 3, Manhasset, NY 11030",NY,Provides Abortions,40.773557,-73.701995,1,rooftop,444,Community Dr,Ste,LL3,Manhasset,NY,Nassau County,11030,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36059,Manhasset,3644897,301800,2018,2,3.60593E+14,36059301800,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"Nassau County-Suffolk County, NY",35004
"9730 3rd Ave NE, Suite 200, Seattle, WA 98115",WA,Provides Abortions,47.700074,-122.325013,1,rooftop,9730,3rd Ave NE,Ste,200,Seattle,WA,King County,98115,US,King,2018,53,53033,Seattle,5363000,1900,1003,1,5.3033E+14,53033001900,"Seattle-Tacoma-Bellevue, WA",42660,metropolitan,"Seattle-Tacoma, WA",500,"Seattle-Bellevue-Everett, WA",42644
"3711 Pacific Ave #200, Tacoma, WA 98418",WA,Provides Abortions,47.224265,-122.433466,1,rooftop,3711,Pacific Ave,Ste,200,Tacoma,WA,Pierce County,98418,US,Pierce,2018,53,53053,Tacoma,5370000,61900,2013,2,5.30531E+14,53053061900,"Seattle-Tacoma-Bellevue, WA",42660,metropolitan,"Seattle-Tacoma, WA",500,"Tacoma-Lakewood, WA",45104
"4131 Central Avenue, St. Petersburg, FL 33713",FL,Provides Abortions,27.771236,-82.689447,1,rooftop,4131,Central Ave,,,Saint Petersburg,FL,Pinellas County,33713,US,Loveland,2018,12,12103,St. Petersburg,1263000,22100,4027,4,1.2103E+14,12103022100,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
"1135 N. W. 23rd Avenue, Suite N, Gainesville, FL 32609",FL,Provides Abortions,29.673359,-82.336694,0.9,rooftop,1135,NW 23rd Ave,Ste,,Gainesville,FL,Alachua County,32609,US,City of Gainesville,2018,12,12001,Gainesville,1225175,301,1009,1,1.2001E+14,12001000301,"Gainesville, FL",23540,metropolitan,"Gainesville-Lake City, FL",264,,
"1545 Huffingham Road, Jacksonville, FL 32216",FL,Provides Abortions,30.293661,-81.600089,1,rooftop,1545,Huffingham Rd,,,Jacksonville,FL,Duval County,32216,US,Duval,2018,12,12031,Jacksonville,1235000,15700,1024,1,1.2031E+14,12031015700,"Jacksonville, FL",27260,metropolitan,"Jacksonville-St. Marys-Palatka, FL-GA",300,,
"14498 University Cove Place, Tampa, FL 33613",FL,Provides Abortions,28.077341,-82.425771,1,rooftop,14498,University Cove Pl,,,Tampa,FL,Hillsborough County,33613,US,Statewide2,2018,12,12057,University,1273163,10813,1000,1,1.2057E+14,12057010813,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
"431 Maitland Avenue, Altamonte Springs, FL 32701",FL,Provides Abortions,28.65592,-81.36578,1,rooftop,431,Maitland Ave,,,Altamonte Springs,FL,Seminole County,32701,US,Statewide2,2018,12,12117,Altamonte Springs,1200950,21802,1049,1,1.2117E+14,12117021802,"Orlando-Kissimmee-Sanford, FL",36740,metropolitan,"Orlando-Deltona-Daytona Beach, FL",422,,
"2700 South Tamiami Trail, Suite 5, Sarasota, FL 34239",FL,Provides Abortions,27.309391,-82.530312,1,rooftop,2700,S Tamiami Trl,Ste,5,Sarasota,FL,Sarasota County,34239,US,Sarasota,2018,12,12115,Sarasota,1264175,601,1030,1,1.2115E+14,12115000601,"North Port-Sarasota-Bradenton, FL",35840,metropolitan,"North Port-Sarasota, FL",412,,
"3330 West Kennedy Blvd., Tampa, FL 33609",FL,Provides Abortions,27.944509,-82.499073,1,rooftop,3330,W Kennedy Blvd,,,Tampa,FL,Hillsborough County,33609,US,Hillsborough,2018,12,12057,Tampa,1271000,5700,1005,1,1.2057E+14,12057005700,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
"3677 Central Avenue, Suite H, Ft. Myers, FL 33901",FL,Provides Abortions,26.608931,-81.863217,1,rooftop,3677,Central Ave,Ste,H,Fort Myers,FL,Lee County,33901,US,Loveland,2018,12,12071,Fort Myers,1224125,1102,3003,3,1.2071E+14,12071001102,"Cape Coral-Fort Myers, FL",15980,metropolitan,"Cape Coral-Fort Myers-Naples, FL",162,,
"4444 S. Florida Avenue, Lakeland, FL 33813",FL,Provides Abortions,27.983934,-81.956403,1,rooftop,4444,Florida Ave S,,,Lakeland,FL,Polk County,33813,US,Polk,2018,12,12105,Lakeland,1238250,11836,1004,1,1.2105E+14,12105011836,"Lakeland-Winter Haven, FL",29460,metropolitan,,,,
"28960 U.S. Highway 19 North, Suite 110, Clearwater, FL 33761",FL,Provides Abortions,28.0355,-82.739335,1,rooftop,28960,US Highway 19 N,Ste,110,Clearwater,FL,Pinellas County,33761,US,Pinellas,2018,12,12103,,,26904,3042,3,1.2103E+14,12103026904,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
"3140 W Irving Park, Chicago, IL 60618",IL,Provides Abortions,41.954154,-87.707194,1,rooftop,3140,W Irving Park Rd,,,Chicago,IL,Cook County,60618,US,Cook,2018,17,17031,Chicago,1714000,160602,2011,2,1.70312E+14,17031160602,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176,"Chicago-Naperville-Arlington Heights, IL",16974
"222 Mamaroneck Avenue, White Plains, NY 10605",NY,Provides Abortions,41.027033,-73.764817,1,rooftop,222,Mamaroneck Ave,,,White Plains,NY,Westchester County,10605,US,Westchester,2018,36,36119,White Plains,3681677,9500,1000,1,3.6119E+14,36119009500,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"120-34 Queens Boulevard, Suite 420, Kew Gardens, NY 11415",NY,Provides Abortions,40.713288,-73.829163,1,rooftop,120-34,Queens Blvd,Ste,420,Kew Gardens,NY,Queens County,11415,US,City of New York,2018,36,36081,New York,3651000,21600,1009,1,3.6081E+14,36081021600,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"1841 Broadway, Suite #1011, New York, NY 10023",NY,Provides Abortions,40.769102,-73.982247,1,range_interpolation,1841,Broadway,Rm,1011,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau,2018,36,36061,New York,3651000,14500,3002,3,3.6061E+14,36061014500,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"5910 Kirkwood St, Pittsburgh, PA 15206",PA,Provides Abortions,40.462323,-79.925781,1,rooftop,5910,Kirkwood St,,,Pittsburgh,PA,Allegheny County,15206,US,Allegheny,2018,42,42003,Pittsburgh,4261000,111500,3009,3,4.20031E+14,42003111500,"Pittsburgh, PA",38300,metropolitan,"Pittsburgh-New Castle-Weirton, PA-OH-WV",430,,
"31 South Commerce Way, Suite 100, Bethlehem, PA 18017",PA,Provides Abortions,40.672855,-75.375482,1,rooftop,31,S Commerce Way,Ste,100,Bethlehem,PA,Northampton County,18017,US,Northampton,2018,42,42095,,,17704,2001,2,4.2095E+14,42095017704,"Allentown-Bethlehem-Easton, PA-NJ",10900,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,,
"1930 Wilshire Boulevard, Suite 500, Los Angeles, CA 90057",CA,Provides Abortions,34.057162,-118.274553,1,rooftop,1930,Wilshire Blvd,Ste,500,Los Angeles,CA,Los Angeles County,90057,US,Los Angeles,2018,6,6037,Los Angeles,644000,208902,1003,1,6.03721E+13,6037208902,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"8316 Arlington Blvd, Fairfax, VA 22031",VA,Provides Abortions,38.86661,-77.232364,1,rooftop,8316,Arlington Blvd,,,Fairfax,VA,Fairfax County,22031,US,Fairfax,2018,51,51059,Merrifield,5151192,440201,1029,1,5.10594E+14,51059440201,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47894
"224 Groveland Road, 2nd floor, Virginia Beach, VA 23452",VA,Provides Abortions,36.841338,-76.085644,1,rooftop,224,Groveland Rd,Fl,2,Virginia Beach,VA,Virginia Beach city,23452,US,Virginia Beach,2018,51,51810,Virginia Beach,5182000,42600,2014,2,5.181E+14,51810042600,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,metropolitan,"Virginia Beach-Norfolk, VA-NC",545,,
"2744 N. Western Ave, Chicago, IL 60647",IL,Provides Abortions,41.931703,-87.688285,1,rooftop,2744,N Western Ave,,,Chicago,IL,Cook County,60647,US,City of Chicago,2018,17,17031,Chicago,1714000,830900,3000,3,1.70318E+14,17031830900,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176,"Chicago-Naperville-Arlington Heights, IL",16974
"110 S. River Road (US45), Suite 7, Des Plaines, IL 60016",IL,Provides Abortions,42.051351,-87.887469,0.8,rooftop,110,S Des Plaines River Rd,Ste,7,Des Plaines,IL,Cook County,60016,US,Cook,2018,17,17031,Des Plaines,1719642,806102,1026,1,1.70318E+14,17031806102,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176,"Chicago-Naperville-Arlington Heights, IL",16974
"6005 Landover Rd, Suite #6, Cheverly, MD 20785",MD,Provides Abortions,38.934082,-76.915563,1,rooftop,6005,Landover Rd,Ste,6,Cheverly,MD,Prince George's County,20785,US,Prince Georges,2018,24,24033,Cheverly,2416550,804200,2005,2,2.40338E+14,24033804200,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47894
"700 N. Broad Street, Suite 202, Elizabeth, NJ 07208",NJ,Provides Abortions,40.679695,-74.213975,1,rooftop,700,N Broad St,Ste,202,Elizabeth,NJ,Union County,7208,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2018,34,34039,Elizabeth,3421000,31700,1005,1,3.4039E+14,34039031700,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"Newark, NJ-PA",35084
"200 Grand Avenue, Suite 101, Englewood, NJ 07631",NJ,Provides Abortions,40.886785,-73.977648,1,rooftop,200,Grand Ave,Ste,101,Englewood,NJ,Bergen County,7631,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2018,34,34003,Englewood,3421480,15400,3007,3,3.4003E+14,34003015400,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"333 Jimmie Leeds Road, Unit 5, Galloway, NJ 08205",NJ,Provides Abortions,39.464821,-74.496202,0.9,rooftop,333,E Jimmie Leeds Rd,Ste,5,Galloway,NJ,Atlantic County,8205,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2018,34,34001,,,10506,3003,3,3.4001E+14,34001010506,"Atlantic City-Hammonton, NJ",12100,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428,,
"1345 Kuser Road, Suite 1, Hamilton, NJ 08619",NJ,Provides Abortions,40.209635,-74.702855,1,rooftop,1345,Kuser Rd,Ste,1,Trenton,NJ,Mercer County,8619,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2018,34,34021,,,2702,4007,4,3.4021E+14,34021002702,"Trenton, NJ",45940,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,,
