Facility Name,Address,Street address,City,State,Zipcode,Phone Number,Website,Still Open,Provides Abortions,New clinic since last update,MAB,Surgical/aspiration,MAB Gestational Limit,Surgical/aspiration Gestational Limit,Date Opened (Year),Date Updated
Advanced Gyn Clinic,"6464 N Miami Ave, Miami, FL 33150",6464 N Miami Ave,Miami,FL,33150,(305) 621-1399,http://www.yellowpages.com/miami-fl/mip/advanced-gyn-clinic-23151798,Currently Closed,Does Not Provide Abortions,No,,,,,,7/23/19
Affiliated Women's Services,"2215 Distributors Drive, Indianapolis, IN 46242",2215 Distributors Drive,Indianapolis,IN,46242,(317) 241-0215,,Currently Closed,Does Not Provide Abortions,No,,,,,,8/11/20
Aid For Women,"720 Simpson Ave, Kansas City, KS 66101",720 Simpson Ave,Kansas City,KS,66101,(913) 321-3350,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/27/20
Akron Women's Medical Group,"692 East Market Street, Akron, OH 44304",692 East Market Street,Akron,OH,44304,(330) 535-9191,http://www.awmg.info/home/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/12/20
Alba Medical Center,"4210 Palm Ave, Hialeah, FL 33012",4210 Palm Ave,Hialeah,FL,33012,(305) 827-3412,http://www.yellowpages.com/hialeah-fl/mip/alba-medical-center-11676903,Currently Closed,Does Not Provide Abortions,No,,,,,,7/23/19
Alfa Primary Care Medical Associates,"405 N Broadway, Santa Ana, CA 92701",405 N Broadway,Santa Ana,CA,92701,(714) 541-5844,http://www.yellowpages.com/santa-ana-ca/mip/alfa-primary-care-medical-associates-4445349?lid=4445349,Currently Closed,Does Not Provide Abortions,No,,,,,,8/10/20
All Women's Clinic: Ft. Lauderdale,"2100 E Commercial Blvd., Fort Lauderdale, FL 33308-3822",2100 E Commercial Blvd.,"Ft,. Lauderdale",FL,33308,(954)-772-0933,http://www.allwomensclinic.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/13/20
All Women's Health Chicago,"2000 W. Armitage Ave., Chicago, Illinois 60647-4514",2000 W. Armitage Ave.,Chicago,IL,60647,(773) 252-3600,https://www.facebook.com/AWHFamilyMedicineFoundation/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/11/20
All Women's Medical Center,"8600 Wurzbach Road, Suite 1206, San Antonio, TX 78240","8600 Wurzbach Road, Suite 1206",San Antonio,TX,78240,(210) 614-7711,,Currently Open,Does Not Provide Abortions,No,,,,,,7/29/20
"All Women's Medical Office Based Surgery, PLLC: A Woman's Medical","184 70th Street, New York, NY 10021",184 70th Street,New York,NY,10021,(877) 462-8837,http://www.nyabortion.com,Currently Closed,Does Not Provide Abortions,No,,,,,,8/27/19
All Women's OB-GYN Group,"817 S. Unversity Dr Suite 100a, Plantation, FL 33324",817 S. Unversity Dr Suite 100a,Plantation,FL,33324,(954) 474-2500,http://www.yelp.com/biz/all-womens-ob-gyn-group-plantation,Currently Closed,Does Not Provide Abortions,No,,,,,,7/23/19
Alpha Group Gyn PC,"1640 Powers Ferry Rd Bdg. 23, Marietta, GA 30067",1640 Powers Ferry Rd Bdg. 23,Marietta,GA,30067,(404) 681-4300,http://www.alphagynecologyandconsulting.com/index.html,Currently Closed,Does Not Provide Abortions,No,,,,,,7/24/19
Alto Women's Center,"6671 Southwest Fry, 450, Houston, TX 77074","6671 Southwest Fry, 450",Houston,TX,77074,(713) 772-6422,http://www.aaltowomenscenter.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/29/20
American Family Planning of Pensacola,"6115 Village Oaks Drive, Pensacola, FL 32504",6115 Village Oaks Drive,Pensacola,FL,32504,(850) 478-9660,http://www.abortionpensacola.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/19/19
American Samoa Family Planning Program,"LBJ Tropical Medical Center, 4 Fagaalu Road, Pago Pago, AS 96799","LBJ Tropical Medical Center, 4 Fagaalu Road",Pago Pago,AS,96799,(684) 633-1222,https://opa-fpclinicdb.hhs.gov/service-site/american-samoa-family-planning-program,Currently Open,Does Not Provide Abortions,No,,,,,,7/22/20
American Women's Services: Allentown Medical Services,"2200 Hamilton Street, Suite 200, Allenstown, PA 18104","2200 Hamilton Street, Suite 200",Allenstown,PA,18104,(800) 366-9604,http://www.americanwomensservices.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/1/19
American Women's Services: Baltimore,"3506 N. Calvert Street, Suite 110, Baltimore, MD 21218","3506 N. Calvert Street, Suite 110",Baltimore,MD,21218,(800) 203-7604,https://www.americanwomensservices.com/,Temporarily Closed,Does Not Provide Abortions,No,Yes,Yes,9w,24w,,8/26/20
American Women's Services: Frederick,"801 Tollhouse Avenue, Unit H-6, Frederick, Maryland 21201","801 Tollhouse Avenue, Unit H-6",Frederick,MD,21201,(800) 951-1180,https://www.americanwomensservices.com/,Temporarily Closed,Does Not Provide Abortions,No,Yes,No,9w,24w,,8/26/20
American Women's Services: Paramus,"3 Winslow Place, Paramus, NJ 07652",3 Winslow Place,Paramus,NJ,7652,(800) 364-2077,http://www.americanwomensservices.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/14/20
American Women's Services: Pittsburgh,"320 Fort Duquesne Blvd. #325, Pittsburgh, PA 15222",320 Fort Duquesne Blvd. #325,Pittsburgh,PA,15222,(800) 364-2405,,Currently Closed,Does Not Provide Abortions,No,,,,,,8/1/19
Amethyst Health Center for Women,"9380-B Forestwood Lane, Manassas, VA 20110",9380-B Forestwood Lane,Manassas,VA,20110,(703) 335-2779,www.amethysthealthcenterforwomen.com,Currently Closed,Does Not Provide Abortions,No,,,,,,8/1/19
Annapolis Road Medical Center,"5632 Annapolis Rd, Ste. 7, Bladensburg, MD 20710","5632 Annapolis Rd, Ste. 7",Bladensburg,MD,20710,(301) 927-2000,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/27/19
Aspen Valley Hospital - OB/GYN,"401 Castle Creek Road, Aspen, CO 81611 ",401 Castle Creek Road,Aspen,CO,81611,(970) 925-1120,http://www.aspenvalleyhospital.org/page.cfm?pageid=21825,Currently Open,Does Not Provide Abortions,No,,,,,,7/14/19
Atlantic Women's Health,"707 White Horse Pike, Abescon, NJ 08201",707 White Horse Pike,Abescon,NJ,8201,(609) 204-9195,http://www.merchantcircle.com/business/Atlantic.Womens.Health.609-204-9195?sort=displayorder,Currently Closed,Does Not Provide Abortions,No,,,,,,7/31/19
Aurora Medical Services,"1001 Broadway, Suite 320, Seattle, WA 98122","1001 Broadway, Suite 320",Seattle,WA,98122,(206) 957-0990,http://www.auroramedicalservices.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/13/20
Beacon Women's Center,,1011 Monticello Court,Montgomery,AL,36117,(334) 277-6212,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/22/20
Berkshire Medical Center: North Adams Regional Hospital,"71 Hospital Avenue, Third Floor, North Adams, MA 01247","71 Hospital Avenue, Third Floor",North Adams,MA,1247,(413) 499-8570,http://www.nbhealth.org/NBH/181/Obstetrics-Gynecology.html,Currently Open,Does Not Provide Abortions,No,Yes,Yes,7w,12w,,9/4/19
"Bernard Rosenfield, MD","7400 Fannin, Suite 910, Houston, TX 77054","7400 Fannin, Suite 910",Houston,TX,77054,(713) 790-0099 ,http://rosenfeldmd.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/3/19
BHS Family Health Center (Pacifica Women's Healthcare),"12954 Hawthorne Blvd Ste. 100, Hawthorne, CA 90250",12954 Hawthorne Blvd Ste. 100,Hawthorne,CA,90250,(310) 978-6900,http://www.pacificawomenshealthcare.com/,Currently Open,Does Not Provide Abortions,,,,,,,8/10/20
Bossier City Medical Suite,"1505 Doctors Drive, Bossier City, LA 71111",1505 Doctors Drive,Bossier City,LA,71111,(318) 747-0330,http://www.abortion-shreveport.com,Currently Closed,Does Not Provide Abortions,No,,,,,,7/27/20
Bours Health Center,"539 E 11th Ave, Eugene OR 97401",539 E 11th Ave,Eugene,OR,97401,(541) 484-1223,https://www.drbours.com/home/bsh/index.html,Currently Closed,Does Not Provide Abortions,No,,,,,,7/22/20
Brandeis Medical Center: Los Angeles,"819 S. Vermont, Los Angeles, CA 90005",819 S. Vermont,Los Angeles,CA,90005,424-239-1650,http://www.ru486ishere.com,Currently Closed,Does Not Provide Abortions,No,,,,,,8/10/20
Bronx Women Medical Services,"2901 3rd Ave # 2, Bronx, NY 10455",2901 3rd Ave # 2,Bronx,NY,10455,(718) 585-0306,https://plus.google.com/103849572081814364777/about?gl=us&hl=en,Currently Closed,Does Not Provide Abortions,No,,,,,,8/3/19
Bronx-Lebanon Hospital - Women's Health Clinic,"1650 Grand Concourse, Bronx, NY 10457",1650 Grand Concourse,Bronx,NY,10457,(718) 518-5000,http://www.bronx-leb.org/,Currently Open,Does Not Provide Abortions,No,No,Yes,,24w,,8/26/20
Butterfly Medical Clinic,"3756 Santa Rosalia Dr., #220, Los Angeles, CA 90008","3756 Santa Rosalia Dr., #220",Los Angeles,CA,90008,(323) 290-3900,http://directory.wfaa.com/biz/butterfly-medical-clinic/los-angeles/ca/90008/33563080,Currently Closed,Does Not Provide Abortions,No,,,,,,8/10/20
California Women's Medical Clinic,"4282 Genesee Ave., Suite 201, San Diego, CA 92117","4282 Genesee Ave., Suite 201",San Diego,CA,92117,(858) 268-0300,http://www.californiawomensmedicalclinic.com/,Currently Open,Does Not Provide Abortions,No,,,,,,8/10/20
Capital Care Women's Center (Columbus),"4818 Indianola Avenue, Columbus OH 43214",4818 Indianola Avenue,Columbus,OH,43214,(614) 430-3711,http://capitalcarewomenscenter.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/11/20
Capital Care Women's Center (Cuyahoga Falls/Akron),"2127 State Road, Cuyahoga Falls, OH 44223",2127 State Road,Cuyahoga Falls,OH,44223,(330) 923-4009,http://capitalcarewomenscenter.com/akron/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/11/20
Capital Care Women's Center (Lima),"222 S. Elizabeth Street, Lima, OH 45801",222 S. Elizabeth Street,Lima,OH,45801,(419) 478-6801,http://capitalcarewomenscenter.com/lima/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/11/20
carafem: Augusta,"1115 Garredd Blvd., Augusta, GA 30909",1115 Garredd Blvd.,Augusta,GA,30909,(877) 721-2596,https://carafem.org/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/24/19
Caring For Women,"Amesbury Health Center, 24 Morrill Place, Amesbury, MA 01913","Amesbury Health Center, 24 Morrill Place",Amesbury,MA,1913,(508) 634-7338,https://www.healthgrades.com/group-directory/ma-massachusetts/amesbury/caring-for-women-ooo5wf3,Currently Open,Does Not Provide Abortions,No,Yes,Yes,7w,11.6w,,9/4/19
Carolina Women Care: High Point,"712 N Elm St., High Point, NC, 27262",712 N Elm St.,High Point,NC,27262,(336) 889-8503,,Currently Open,Does Not Provide Abortions,No,,,,,,7/31/19
Causeway Medical Center,"3044 Ridgelake Drive, Metairie, Louisiana 70002",3044 Ridgelake Drive,Metairie,LA,70002,(504) 837-1272,http://www.abortion-new-orleans.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/27/20
Center for Choice,"328 22nd St, Toledo, OH 43604",328 22nd St,Toledo,OH,43604,(419) 255-7769,,Currently Closed,Does Not Provide Abortions,No,,,,,,8/11/20
Cleveland Center for Women's Health,"11710 Shaker Blvd, Shaker Heights, OH 33120",11710 Shaker Blvd,Shaker Heights,OH,33120,(216) 295-2500,,Currently Closed,Does Not Provide Abortions,No,,,,,,8/11/20
Clinica Medica Para La Mujer de Hoy,"2140 West Olympic, Los Angeles, CA 90006",2140 West Olympic,Los Angeles,CA,90006,(818) 893-4402,http://recursos.hispanicaccess.org/42280/Clinica-Medica-Para-la-Mujer-de-Hoy-Family-Planning.html,Currently Closed,Does Not Provide Abortions,No,,,,,,8/10/20
Clinica para la mujer de hoy / Abortion Services,"120 W. 5th St., Ste. 100, Santa Ana, CA 92701","120 W. 5th St., Ste. 100",Santa Ana,CA,92701,(714) 972-2772,,Currently Closed,Does Not Provide Abortions,No,,,,,,8/10/20
Coastal Birth Control Center,"1901 Morgan Avenue, Corpus Christi, TX 78404",1901 Morgan Avenue,Corpus Christi,TX,78404,(210) 614-4742,http://www.coastalbirthcontrolcenter.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/3/19
Community Pregnancy Services,"2118 E 1st St, Los Angeles, CA 90033",2118 E 1st St,Los Angeles,CA,90033,(323) 266-2023,http://www.yellowpages.com/los-angeles-ca/mip/community-pregnancy-svc-11012756?lid=11012756,Currently Closed,Does Not Provide Abortions,No,,,,,,8/10/20
Compassionate Abortion Services,"106 Irving Street NW Suite 3700, Washington, D.C. 20010",106 Irving Street NW Suite 3700,Washington,DC,20010,(202) 723-6200,http://abortiondc.com/ ,Currently Closed,Does Not Provide Abortions,No,,,,,,7/14/19
Complete Healthcare for Women - East Columbus Location,"99 N. Brice Rd, Columbus, OH 43213",99 N. Brice Rd,Columbus,OH,43213,(614) 882-4343,http://drsamuel.org/,Currently Open,Does Not Provide Abortions,No,,,,,,8/11/20
Complete Healthcare for Women - Pickerington Location,"670 Hill Rd., North Pickerington, OH 43147",670 Hill Rd.,North Pickerington,OH,43147,(614) 882-4343,http://drsamuel.org/,Currently Open,Does Not Provide Abortions,No,,,,,,8/11/20
Complete Healthcare for Women - Westerville ,"5888 Cleveland Avenue, Columbus, OH 43231",5888 Cleveland Avenue,Columbus,OH,43231,(614) 882-4343,http://drsamuel.org/,Currently Open,Does Not Provide Abortions,No,,,,,,8/11/20
Comprehensive Health of Planned Parenthood Great Plains: NW OKC Health Center,"6112 NW 63rd St, Warr Acres, OK 73132",6112 NW 63rd St,Warr Acres,OK,73132,(405) 603-4884,https://www.plannedparenthood.org/health-center/oklahoma/warr-acres/73132/nw-okc-health-center-4227-90740/abortion,Currently Closed,Does Not Provide Abortions,No,Yes,No,10w,,2017,6/24/20
Comprehensive Women's Care (Lifeline Medical Associates),"401A South Van Brunt Street, Englewood, NJ 07631",401A South Van Brunt Street,Englewood,NJ,7631,(201) 871-4346,https://lma-llc.com/sites/comprehensive-womens-care.htm,Currently Open,Does Not Provide Abortions,No,,,,,,8/26/20
Consultants in Obstetrics and Gynecology: Denver,"2055 High St, Suite 140, Denver, CO 80205 ","2055 High St, Suite 140",Denver,CO,80205,(303) 322-2240,http://consobgyn.com,Currently Open,Does Not Provide Abortions,No,,,,,,7/24/20
Consultants in Obstetrics and Gynecology: Evergreen,"30940 Stagecoach Blvd, Suite E230, Evergreen, CO 80439 ","30940 Stagecoach Blvd, Suite E230",Evergreen,CO,80439,(303) 674-2928,http://consobgyn.com,Currently Closed,Does Not Provide Abortions,No,,,,,,7/24/20
Consultants in Obstetrics and Gynecology: Greenwood Village,"5191 S. Yosemite St, Unit B, Greenwood Village, CO 80111","5191 S. Yosemite St, Unit B",Greenwood Village,CO,80111,(303) 322-2240,http://consobgyn.com/,Currently Open,Does Not Provide Abortions,No,,,,,,7/24/20
Costa Feminina / Coast Women's Medical Associates,"2010 Wilshire Blvd #510, Los Angeles, CA 90057",2010 Wilshire Blvd #510,Los Angeles,CA,90057,(213) 483-0644,http://www.yellowpages.com/los-angeles-ca/mip/costa-feminina-medical-associates-12445767?lid=12445767,Currently Closed,Does Not Provide Abortions,No,,,,,,8/10/20
"Craig Mather, M.D.","595 N Main St #1, Ashland, OR 97520",595 N Main St #1,Ashland,OR,97520,(541) 482-5853,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/22/20
"Dell Bernstein, MD","1295 Colorado Blvd, Denver, CO 80206",1295 Colorado Blvd,Denver,CO,80206,(303) 399-6120,http://www.healthgrades.com/physician/dr-udell-bernstein-yq3ly,Currently Closed,Does Not Provide Abortions,No,,,,,,7/24/20
Downtown Women's Center,"511 SW 10th Avenue, Suite 905, Portland, OR 97205","511 SW 10th Avenue, Suite 905",Portland,OR,97205,(503) 224-3435,http://www.downtownwomenscenter.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/22/20
Downtown Women's Health Care,"3773 Cherry Creek North Drive, Suite 685, Denver, CO 80209","3773 Cherry Creek North Drive, Suite 685",Denver,CO,80209,(303) 298-0222,http://www.md4women.com/about/,Currently Open,Does Not Provide Abortions,No,,Yes,,13w,,7/24/20
Dr. Bruce Berger and Dr. Charles Benjamin,"1335 West Tabor Road, Suite 202, Philadelphia, PA 19141","1335 West Tabor Road, Suite 202",Philadelphia,PA,19141,(215) 424-0222,http://www.bergerbenjamin.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/23/20
Dr. Colleen Murphy,"1867 Airport Way Suite 160B, Fairbanks, AK, 99701",1867 Airport Way Suite 160B,Fairbanks,AK,99701,(907) 455-7285,www.drcolleen.yourmd.com,Currently Closed,Does Not Provide Abortions,No,,,,,,7/22/20
Dr. Feliciano R. Rios Medical Office,"1079 3rd Ave Suite C, Chula Vista, CA 91911",1079 3rd Ave Suite C,Chula Vista,CA,91911,(619) 427-0760,https://plus.google.com/110507268175392555527/about?gl=us&hl=en,Currently Closed,Does Not Provide Abortions,No,,,,,,8/10/20
Dr. James Aria,"2865 Duke St., Alexandria, VA 22314",2865 Duke St.,Alexandria,VA,22314,(703) 461-7500,,Currently Open,Does Not Provide Abortions,No,,,,,,8/1/19
Dr. Michael Merrick,"416 Frontage Rd # 200, Kenai, AK 99611",416 Frontage Rd # 200,Kenai,AK,99611,(907) 283-6030,,Currently Open,Does Not Provide Abortions,No,Yes,Yes,9w,,,7/22/20
"Dr. Phillip Welch, Reproductive Health Specialists","801 Broadway, Ste. 628, Seattle WA 98122","801 Broadway, Ste. 628",Seattle,WA,98122,(206) 622-1055,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/13/20
Dr. Washington Bryan Sr.,"3720 Prytania, New Orleans, LA 70115",3720 Prytania,New Orleans,LA,70115,(504) 891-3711,,Currently Open,Does Not Provide Abortions,No,,,,,,7/27/20
Early Abortion Rights,"3418 N Ocean Blvd, Fort Lauderdale, FL 33308",3418 N Ocean Blvd,Ft. Lauderdale,FL,33308,(954) 860-8808,http://www.fortlauderdaleabortioninfo.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/23/19
Early Options,"188 Montague St Suite 404, Brooklyn, NY 11201",188 Montague St Suite 404,Brooklyn,NY,11201,,http://www.earlyabortionoptions.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/3/19
Eastowne OB/GYN ,"180 Providence Road, Suite #3, Chapel Hill, NC, 27514","180 Providence Road, Suite #3",Chapel Hill,NC,27514,(919) 493-8466,http://www.eastowneobgyn.com/,Currently Open,Does Not Provide Abortions,No,,,,,,7/31/19
"Ed O'Loughlin, MD","850 E Harvard Ave Ste G55, Denver, CO 80210",850 E Harvard Ave Ste G55,Denver,CO,80210,(303) 733-5511,http://www.wellness.com/dir/2051785/obgyn/co/denver/edward-oloughlin-oloughlin-md#referrer,Currently Closed,Does Not Provide Abortions,No,,,,,,7/24/20
EMW Women's Surgical Center: Lexington,"161 Burt Road, Lexington, KY 40503",161 Burt Road,Lexington,KY,40503,(859) 278-0331 ,http://www.emwwomens.com/patient.html,Currently Closed,Does Not Provide Abortions,No,,,,,,7/27/20
Eve Women's Medical Centers: Eve's Clinic ,"3900 NW 79th Avenue, Suite 575, Miami, FL 33166","3900 NW 79th Avenue, Suite 575",Miami,FL,33166,(305) 591-2288,http://www.eveabortioncarespecialists.com,Currently Closed,Does Not Provide Abortions,No,,,,,,8/27/19
Family Care Medical Center,"1340 Leyden St, Denver, CO 80220",1340 Leyden St,Denver,CO,80220,(303) 320-8686,http://www.healthgrades.com/group-directory/colorado-co/denver/family-care-medical-center-y9fdbt,Currently Open,Does Not Provide Abortions,No,No,Yes,,10w,,7/24/20
Family Planning Associates Medical Group: Choice Medical Group Fremont,"1895 Mowry Ave, Fremont, CA 94538",1895 Mowry Ave,Fremont,CA,94538,(510) 792-3398,http://choicemedicalgroup.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/7/20
Family Planning Associates Medical Group: Choice Medical Group San Jose,"2365 Montpelier Dr, San Jose, CA 95116",2365 Montpelier Dr,San Jose,CA,95116,(408) 272-9244,http://choicemedicalgroup.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/7/20
Family Planning Associates: Southside Chicago,"7845 S. Cottage Grove, Ste. 102, Chicago, IL 60619","7845 S. Cottage Grove, Ste. 102",Chicago,IL,60619,(773) 362-5507,http://fpachicago.com,Currently Closed,Does Not Provide Abortions,No,,,,,,8/11/20
Family Planning Specicialists Medical Group,"200 Webster Street, Suite 100, Oakland, CA 94607","200 Webster Street, Suite 100",Oakland,CA,94607,(510) 268-3720,http://www.familyplanningspecialists.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/7/20
Family Planning Surgery Center,"625 North A Street, Suite 300, Oxnard, CA 93030","625 North A Street, Suite 300",Oxnard,CA,93030,(805) 288-5140,http://www.familyplanningoxnard.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/7/20
"Female Health Group, LLC","1700 N. University Drive, Suite 202, Coral Springs, FL 33071","1700 N. University Drive, Suite 202",Coral Springs,FL,33071,(954) 753-2860,https://www.facebook.com/Female-Health-Group-576418482438199/info/?tab=overview,Currently Open,Does Not Provide Abortions,No,No,Yes,,13.6w,,8/13/20
FemCare,"62 Orange Street, Asheville, NC 28801",62 Orange Street,Asheville,NC,28801,(828) 255-8400,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/31/19
Founder's Women's Health Center,"1243 E. Broad St, Columbus, OH 43205",1243 E. Broad St,Columbus,OH,43205,(614) 251-1800,http://www.founderswhc.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/11/20
FPA Women's Health: Montclair,"5050 Palo Verde St, #203, Montclair, CA 91763","5050 Palo Verde St, #203",Montclair,CA,91763,(909) 626-2463,http://www.fpawomenshealth.com/locations/inland-empire/montclair-ca/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/4/19
FPA Women's Health: San Diego (Downtown),"4033 3rd Ave, #200, San Diego, CA 92103","4033 3rd Ave, #200",San Diego,CA,92103,(619) 481-3376,http://www.fpawomenshealth.com/locations/san-diego/san-diego-downtown-ca/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/7/20
Freedom of Choice OB/GYN,"125 Lattimore Road, Suite 280, Rochester, NY 14620","125 Lattimore Road, Suite 280",Rochester,NY,14620,(585) 241-8935,http://www.focobgyn.com/,Currently Open,Does Not Provide Abortions,No,Yes,Yes,9w,13w,,8/15/19
Friendship Family Planning,"3700 Broadway, Gary, IN 46408",3700 Broadway,Gary,IN,46408,(219) 887-4900,,Currently Closed,Does Not Provide Abortions,No,,,,,,8/11/20
"George Stransky, MD, FACOG","4231 Lake Otis Pkwy., Anchorage, AK 99508",4231 Lake Otis Pkwy.,Anchorage,AK,99508,(907) 562-2965,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/22/20
Goodman OB/GYN Association,"455 S Hudson Level 2, Denver, CO 80206",455 S Hudson Level 2,Denver,CO,80206,(303) 388-4631,http://www.yellowpages.com/denver-co/mip/goodman-ob-gyn-assoc-21406097?lid=21406097,Currently Closed,Does Not Provide Abortions,No,,,,,,7/24/20
Guam PolyClinic,"138 14B, Tamuning, GU 96913",138 14B,Tamuning,GU,96913,(671) 646-6822,http://www.pregnancycontrolclinic.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/27/19
Guam Women's Clinic,"415 Chalan San Antonio Suite 214, Tamuning, GU 96913",415 Chalan San Antonio Suite 214,Tamuning,GU,96913,(671) 649-7539,http://www.guamwomensclinic.com/main/,Currently Open,Does Not Provide Abortions,No,,,,,,8/27/19
Gynecare Associates,"2807 Duke St, Alexandria, VA 22314",2807 Duke St,Alexandria,VA,22314,(703) 461-7000,http://www.healthgrades.com/group-directory/virginia-va/alexandria/gyne-health-obstetrics-and-gynecology-llc-5742e540,Currently Closed,Does Not Provide Abortions,No,,,,,,8/1/19
Harbor Hospital Center,"3001 South Hanover St. Suite 301, Baltimore, MD 21225",3001 South Hanover St. Suite 301,Baltimore,MD,21225,(410) 354-0800,www.harborhospital.org,Currently Open,Does Not Provide Abortions,No,,,,,,7/27/19
Her Medical Clinic: Figueroa,"1414 South Grand Avenue, Suite 400, Los Angeles, CA 90015","1414 South Grand Avenue, Suite 400",Los Angeles,CA,90015,(310) 652-4252,https://www.hermedicalclinic.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/7/20
