fid,SVIth1,SVIth2,SVIth3,SVIth4,SVIS,GEOID
"91",0.2656,0.2502,0.758,0.1219,0.2427,"13077"
"92",0.2382,0.1465,0.3419,0.0907,0.1038,"13085"
"93",0.0602,0.1032,0.765,0.0181,0.0608,"13113"
"94",0.7484,0.6361,0.8064,0.9389,0.8854,"13115"
"95",0.6427,0.4963,0.7049,0.2728,0.5599,"13123"
"96",0.4777,0.8112,0.7908,0.694,0.7159,"13127"
"97",0.6325,0.8962,0.2856,0.2859,0.5427,"13143"
"98",0.2573,0.3948,0.3225,0.0519,0.1341,"13145"
"99",0.7194,0.8434,0.6164,0.3897,0.7194,"13147"
"100",0.4869,0.5852,0.788,0.4031,0.5669,"13153"
"101",0.4436,0.327,0.6784,0.1735,0.3516,"13157"
"102",0.6248,0.5887,0.3206,0.134,0.3793,"13169"
"103",0.6067,0.1232,0.489,0.4358,0.4338,"13187"
"104",0.5162,0.0831,0.5632,0.6762,0.4596,"13207"
"105",0.3688,0.3063,0.6797,0.0538,0.2446,"13211"
"106",0.4038,0.2493,0.304,0.319,0.2796,"13227"
"107",0.5283,0.0729,0.2324,0.0726,0.151,"13231"
"108",0.7682,0.809,0.8249,0.4511,0.8048,"13233"
"109",0.7608,0.7233,0.2856,0.4989,0.6408,"13295"
"110",0.5003,0.5304,0.5651,0.0328,0.293,"13297"
"111",0.7242,0.894,0.4565,0.9029,0.8449,"13299"
"112",0.4793,0.2735,0.3782,0.0876,0.2357,"13311"
"113",0.0939,0.0981,0.5874,0.2429,0.1373,"16001"
"114",0.3188,0.3843,0.1576,0.3512,0.2401,"16017"
"115",0.3978,0.397,0.3903,0.2604,0.3083,"16021"
"116",0.4178,0.4639,0.0092,0.3365,0.2462,"16023"
"117",0.2981,0.6546,0.276,0.0127,0.1338,"16025"
"118",0.5866,0.4425,0.8007,0.3738,0.5882,"16039"
"119",0.6424,0.9739,0.5294,0.2471,0.6627,"16045"
"120",0.2688,0.5279,0.2585,0.2572,0.2328,"16055"
"121",0.3268,0.8115,0.347,0.709,0.5067,"16069"
"122",0.1226,0.3687,0.0092,0.2448,0.0882,"16085"
"123",0.2411,0.5594,0.1936,0.3782,0.249,"17001"
"124",0.4398,0.5425,0.8176,0.2203,0.4697,"17007"
"125",0.3032,0.639,0.5454,0.1273,0.2863,"17011"
"126",0.3541,0.4998,0.0105,0.2378,0.1901,"17013"
"127",0.3653,0.2073,0.2436,0.1334,0.1682,"17015"
"128",0.3446,0.306,0.1016,0.4094,0.2408,"17021"
"129",0.3573,0.8306,0.0627,0.0891,0.2073,"17023"
"130",0.157,0.134,0.2426,0.5358,0.1787,"17027"
"131",0.5519,0.2209,0.3187,0.7631,0.4978,"17029"
"132",0.3643,0.5288,0.0306,0.1095,0.1627,"17035"
"133",0.2917,0.1894,0.2327,0.1318,0.129,"17039"
"134",0.4217,0.8163,0.1652,0.2649,0.3433,"17045"
"135",0.3468,0.7011,0.1366,0.1878,0.2443,"17047"
"136",0.1768,0.2945,0.2757,0.3932,0.199,"17049"
"137",0.435,0.7994,0.1897,0.1585,0.3051,"17053"
"138",0.7643,0.9382,0.0408,0.4053,0.6092,"17055"
"139",0.6232,0.6281,0.4085,0.5126,0.5761,"17057"
"140",0.4742,0.5037,0.0146,0.1223,0.1952,"17061"
"141",0.1392,0.1423,0.5037,0.0602,0.0844,"17063"
"142",0.2494,0.7093,0.07,0.1114,0.1529,"17065"
"143",0.3462,0.2853,0.07,0.0949,0.1232,"17067"
"144",0.315,0.3031,0.4132,0.1289,0.201,"17073"
"145",0.4516,0.5279,0.4963,0.1566,0.3404,"17075"
"146",0.3857,0.5727,0.1983,0.163,0.2417,"17079"
"147",0.7096,0.8656,0.3254,0.928,0.8108,"17081"
"148",0.1818,0.0958,0.2264,0.2639,0.1041,"17083"
"149",0.5175,0.5221,0.7039,0.7596,0.6656,"17091"
"150",0.4675,0.3712,0.5479,0.3741,0.4303,"17099"
"151",0.407,0.696,0.2795,0.6724,0.4841,"17105"
"152",0.071,0.0786,0.7202,0.0408,0.0701,"17111"
"153",0.5344,0.751,0.4164,0.6425,0.5971,"17115"
"154",0.4446,0.3989,0.0729,0.149,0.1987,"17117"
"155",0.3646,0.2518,0.3712,0.3725,0.2965,"17119"
"156",0.2803,0.1933,0.1111,0.0274,0.0545,"17123"
"157",0.5822,0.815,0.0131,0.1047,0.2946,"17125"
"158",0.6627,0.9341,0.2509,0.8064,0.7513,"17127"
"159",0.1271,0.4664,0.0201,0.0519,0.0484,"17129"
"160",0.2978,0.3168,0.0544,0.1175,0.1134,"17131"
"161",0.007,0.0493,0.1764,0.0121,0.0016,"17133"
"162",0.3016,0.3572,0.6441,0.1936,0.2917,"17141"
"163",0.0589,0.1585,0.0357,0.0041,0.0032,"17147"
"164",0.515,0.78,0.0812,0.2563,0.3494,"17149"
"165",0.0844,0.235,0.4374,0.0038,0.0277,"17155"
"166",0.5385,0.6393,0.2101,0.3454,0.4105,"17159"
"167",0.4873,0.6517,0.7972,0.7816,0.7137,"17161"
"168",0.4844,0.4661,0.6539,0.4499,0.5229,"17163"
"169",0.3328,0.5138,0.4234,0.6361,0.4357,"17167"
"170",0.4019,0.3241,0.0586,0.0777,0.1354,"17171"
"171",0.3118,0.1948,0.0232,0.113,0.085,"17173"
"172",0.2895,0.3881,0.043,0.014,0.0634,"17175"
"173",0.1092,0.2423,0.1789,0.2617,0.107,"17179"
"174",0.6557,0.7673,0.3187,0.7609,0.6844,"17181"
"175",0.3965,0.4941,0.2773,0.3209,0.3207,"17185"
"176",0.5306,0.4572,0.6415,0.6756,0.6073,"17187"
"177",0.1153,0.1455,0.1474,0.1716,0.0653,"17189"
"178",0.3809,0.765,0.2658,0.5259,0.4331,"17191"
"179",0.5025,0.9226,0.1398,0.5817,0.5382,"17193"
"180",0.2962,0.5874,0.5457,0.2439,0.3283,"17195"
"181",0.1557,0.1417,0.8609,0.1465,0.2022,"17197"
"182",0.4459,0.6918,0.4002,0.4741,0.4806,"17199"
"183",0.0452,0.1531,0.049,0.0936,0.0188,"17203"
"184",0.4303,0.5823,0.7603,0.3878,0.5236,"18003"
"185",0.2828,0.3317,0.6632,0.4107,0.3631,"18005"
"186",0.4971,0.9296,0.2572,0.0541,0.3347,"18007"
"187",0.515,0.8472,0.043,0.2795,0.371,"18009"
"188",0.165,0.1382,0.1611,0.1044,0.0602,"18013"
"189",0.2745,0.3139,0.2814,0.05,0.1175,"18015"
"190",0.3175,0.2022,0.5202,0.2541,0.2548,"18019"
"191",0.4188,0.7988,0.1802,0.2477,0.3338,"18021"
"192",0.4949,0.5505,0.752,0.453,0.571,"18023"
"193",0.6395,0.6511,0.07,0.27,0.3889,"18025"
"194",0.2516,0.227,0.0357,0.1226,0.0799,"18029"
"195",0.3306,0.5944,0.1493,0.1706,0.2102,"18031"
"196",0.3096,0.7217,0.1414,0.1971,0.2334,"18033"
"197",0.6866,0.2464,0.347,0.7011,0.5666,"18035"
"198",0.1863,0.2073,0.4982,0.3047,0.208,"18037"
"199",0.6933,0.8583,0.1229,0.5883,0.6108,"18041"
"200",0.2022,0.2818,0.333,0.205,0.1669,"18043"
"201",0.4341,0.4543,0.2101,0.0818,0.2032,"18045"
"202",0.2682,0.5718,0.12,0.099,0.1471,"18047"
"203",0.4787,0.5164,0.4082,0.1933,0.3459,"18049"
"204",0.2178,0.6243,0.1318,0.6667,0.315,"18051"
"205",0.543,0.6234,0.2066,0.4378,0.4443,"18055"
"206",0.0312,0.1907,0.2544,0.0271,0.0169,"18059"
"207",0.4121,0.3999,0.0933,0.1356,0.1866,"18061"
"208",0.0414,0.2127,0.5403,0.0802,0.0815,"18063"
"209",0.5729,0.5686,0.1057,0.3457,0.3793,"18065"
"210",0.5086,0.8561,0.4046,0.2509,0.4815,"18067"
"211",0.265,0.1181,0.1455,0.2512,0.1248,"18069"
"212",0.5484,0.6485,0.5514,0.3722,0.5389,"18071"
"213",0.3162,0.4998,0.3658,0.2241,0.2685,"18073"
"214",0.5404,0.5727,0.1375,0.3734,0.3847,"18079"
"215",0.1232,0.2942,0.3773,0.1891,0.1424,"18081"
"216",0.5672,0.8036,0.1684,0.7638,0.5927,"18083"
"217",0.3255,0.4222,0.596,0.6202,0.4608,"18085"
"218",0.6162,0.667,0.8742,0.504,0.7252,"18089"
"219",0.649,0.39,0.5285,0.9051,0.7217,"18091"
"220",0.4182,0.7603,0.0834,0.1917,0.2752,"18093"
"221",0.6264,0.8195,0.4744,0.5877,0.6713,"18095"
"222",0.5197,0.3413,0.6358,0.6886,0.5796,"18099"
"223",0.3997,0.7265,0.0092,0.2178,0.2398,"18101"
"224",0.7146,0.588,0.283,0.5377,0.5879,"18103"
"225",0.3054,0.5202,0.4826,0.4234,0.3685,"18107"
"226",0.4076,0.368,0.1105,0.2149,0.2156,"18109"
"227",0.5994,0.5727,0.4741,0.042,0.3366,"18111"
"228",0.3959,0.5193,0.6278,0.4371,0.4742,"18113"
"229",0.1678,0.0726,0.0118,0.1207,0.0252,"18115"
"230",0.6226,0.9462,0.0933,0.7039,0.6455,"18117"
"231",0.636,0.446,0.1082,0.242,0.3455,"18119"
"232",0.3732,0.4511,0.0334,0.1601,0.1745,"18125"
"233",0.1462,0.1554,0.4677,0.2273,0.1478,"18127"
"234",0.1417,0.0809,0.0175,0.0404,0.0105,"18129"
"235",0.529,0.6237,0.0471,0.0856,0.2309,"18131"
"236",0.586,0.8599,0.3521,0.1067,0.4296,"18135"
"237",0.3815,0.3766,0.2044,0.6937,0.3774,"18137"
"238",0.6194,0.3744,0.1579,0.0799,0.2567,"18139"
"239",0.4825,0.4715,0.7071,0.7157,0.6223,"18141"
"240",0.6653,0.5062,0.049,0.3894,0.4201,"18143"
"241",0.3146,0.3034,0.3782,0.1929,0.2182,"18145"
"242",0.2041,0.2203,0.1888,0.1073,0.0879,"18147"
"243",0.6959,0.3486,0.2954,0.0971,0.3417,"18149"
"244",0.2519,0.2642,0.3728,0.467,0.271,"18151"
"245",0.7455,0.8733,0.1643,0.454,0.6271,"18155"
"246",0.1904,0.2897,0.2194,0.0452,0.0726,"18159"
"247",0.2994,0.2967,0.2009,0.1869,0.1713,"18161"
"248",0.4672,0.8991,0.0627,0.4817,0.4503,"18165"
"249",0.4143,0.3964,0.1633,0.3543,0.2882,"18169"
"250",0.1895,0.7459,0.0729,0.0204,0.078,"18171"
"251",0.0382,0.234,0.2601,0.1605,0.0678,"18173"
"252",0.6092,0.7775,0.0293,0.2486,0.3777,"18175"
"253",0.5936,0.8879,0.4495,0.6915,0.7105,"18177"
"254",0.1806,0.446,0.2028,0.1754,0.1439,"18179"
"255",0.2752,0.6332,0.5743,0.0688,0.2439,"18181"
"256",0.0971,0.4403,0.0544,0.0299,0.0315,"18183"
"257",0.0936,0.5864,0.0341,0.0554,0.0538,"19001"
"258",0.1513,0.1726,0.0516,0.085,0.0376,"19003"
"259",0.2449,0.2273,0.5594,0.5333,0.322,"19005"
"260",0.4347,0.6457,0.1305,0.4922,0.3783,"19007"
"261",0.0494,0.1936,0.1051,0.0318,0.0118,"19011"
"262",0.0672,0.1974,0.2397,0.3598,0.1178,"19015"
"263",0.0341,0.0971,0.1783,0.1678,0.0322,"19017"
"264",0.1201,0.2391,0.0605,0.0372,0.0236,"19023"
"265",0.0554,0.3658,0.0465,0.1181,0.0455,"19027"
"266",0.2701,0.4282,0.2999,0.1799,0.1981,"19029"
"267",0.0239,0.1006,0.1611,0.0344,0.008,"19031"
"268",0.1535,0.4699,0.3187,0.4454,0.2497,"19033"
"269",0.065,0.6106,0.2311,0.3075,0.1701,"19035"
"270",0.0682,0.2407,0.3566,0.0525,0.0599,"19037"
"271",0.351,0.447,0.6495,0.5762,0.4847,"19039"
"272",0.2029,0.7074,0.4508,0.4358,0.3439,"19041"
"273",0.1318,0.347,0.2471,0.3881,0.1841,"19043"
"274",0.2857,0.6052,0.2034,0.3219,0.2646,"19045"
"275",0.0879,0.2404,0.0293,0.0996,0.0344,"19055"
"276",0.1834,0.2413,0.3171,0.5352,0.2347,"19061"
"277",0.2252,0.7084,0.2592,0.2155,0.2252,"19065"
"278",0.3277,0.7498,0.3585,0.3206,0.3596,"19067"
"279",0.2936,0.6256,0.5336,0.0252,0.1962,"19069"
"280",0.1382,0.2945,0.0675,0.0821,0.0554,"19071"
"281",0.2105,0.7332,0.2614,0.1449,0.1978,"19073"
"282",0.0086,0.2385,0.0589,0.006,0.0038,"19075"
"283",0.1592,0.6641,0.2461,0.0557,0.122,"19077"
"284",0.1169,0.1821,0.4951,0.1321,0.1153,"19079"
"285",0.0586,0.2229,0.3216,0.1162,0.0713,"19081"
"286",0.1061,0.1296,0.3585,0.2894,0.1242,"19083"
"287",0.1064,0.3416,0.0341,0.135,0.0646,"19085"
"288",0.2847,0.6269,0.4518,0.2528,0.3134,"19087"
"289",0.2099,0.5915,0.0627,0.2066,0.1567,"19089"
"290",0.1882,0.4072,0.4104,0.0825,0.1446,"19091"
"291",0.121,0.5046,0.0201,0.1649,0.0866,"19093"
"292",0.0354,0.1694,0.1334,0.1347,0.0347,"19095"
"293",0.2334,0.5177,0.022,0.164,0.1268,"19097"
"294",0.2213,0.4409,0.1433,0.5629,0.2548,"19099"
"295",0.4516,0.0965,0.7434,0.689,0.4895,"19101"
"296",0.1889,0.1133,0.3356,0.5033,0.1924,"19105"
"297",0.2357,0.3954,0.0318,0.0111,0.0398,"19107"
"298",0.0901,0.6644,0.1827,0.0968,0.1048,"19109"
"299",0.5099,0.7822,0.2127,0.5568,0.5041,"19111"
"300",0.2503,0.7428,0.3025,0.248,0.2755,"19117"
"301",0.0471,0.2372,0.2044,0.0248,0.0204,"19121"
"302",0.3962,0.6772,0.3216,0.5989,0.4637,"19123"
"303",0.1134,0.3231,0.155,0.589,0.1949,"19125"
"304",0.0755,0.4514,0.2143,0.1789,0.1076,"19129"
"305",0.1841,0.4031,0.1003,0.0917,0.086,"19131"
"306",0.2774,0.5657,0.0729,0.2003,0.1796,"19133"
"307",0.4592,0.3709,0.1484,0.2159,0.2519,"19135"
"308",0.2522,0.4798,0.7705,0.3642,0.3904,"19139"
"309",0.1016,0.3868,0.3375,0.5355,0.2322,"19141"
"310",0.242,0.4167,0.6129,0.1926,0.2634,"19143"
"311",0.2971,0.4152,0.4406,0.4333,0.3341,"19145"
"312",0.0487,0.3515,0.4225,0.3327,0.1729,"19147"
"313",0.0535,0.5922,0.4374,0.0911,0.1271,"19149"
"314",0.2303,0.3445,0.3948,0.077,0.1462,"19151"
"315",0.2653,0.6278,0.5521,0.6387,0.4599,"19155"
"316",0.1911,0.6597,0.049,0.142,0.1299,"19159"
"317",0.1194,0.4801,0.3295,0.0236,0.0748,"19161"
"318",0.1704,0.269,0.6202,0.3591,0.2659,"19163"
"319",0.1038,0.6434,0.2633,0.1149,0.1303,"19165"
"320",0.2755,0.5097,0.7173,0.1964,0.3274,"19171"
"321",0.2475,0.5826,0.6148,0.1417,0.2771,"19173"
"322",0.4318,0.7281,0.3954,0.377,0.4455,"19175"
"323",0.3548,0.4288,0.2095,0.2547,0.2465,"19177"
"324",0.6029,0.5788,0.7386,0.7752,0.7439,"19179"
"325",0.022,0.2477,0.1216,0.284,0.072,"19181"
"326",0.1869,0.4766,0.5231,0.1907,0.2239,"19183"
"327",0.3745,0.8485,0.241,0.5422,0.4583,"19185"
"328",0.4242,0.4887,0.3731,0.6011,0.458,"19187"
"329",0.2312,0.4932,0.3623,0.1751,0.2061,"19189"
"330",0.1799,0.5606,0.1665,0.0166,0.0697,"19195"
"331",0.3277,0.8933,0.666,0.2633,0.4803,"19197"
"332",0.4723,0.7453,0.1321,0.4152,0.3978,"20001"
"333",0.243,0.7268,0.3687,0.2365,0.2803,"20007"
"334",0.4322,0.8497,0.6972,0.3063,0.5439,"20009"
"335",0.4166,0.9682,0.1808,0.7249,0.5828,"20011"
"336",0.3153,0.8262,0.3095,0.1232,0.2717,"20013"
"337",0.1984,0.2401,0.3168,0.6243,0.2624,"20015"
"338",0.3924,0.7698,0.2821,0.4094,0.4067,"20017"
"339",0.1213,0.9131,0.4339,0.2779,0.3124,"20025"
"340",0.0408,0.6638,0.0573,0.0532,0.0494,"20027"
"341",0.3236,0.8774,0.1633,0.1652,0.2739,"20029"
"342",0.1672,0.7962,0.1127,0.2627,0.2035,"20031"
"343",0.4971,0.8822,0.6699,0.7202,0.7318,"20035"
"344",0.5723,0.2923,0.5294,0.9586,0.6987,"20037"
"345",0.4124,0.7434,0.1242,0.3231,0.3322,"20041"
"346",0.2226,0.0404,0.4505,0.3563,0.1564,"20051"
"347",0.25,0.2773,0.2884,0.3394,0.2137,"20059"
"348",0.3048,0.8787,0.795,0.4855,0.5752,"20071"
"349",0.3659,0.7405,0.4938,0.1184,0.3223,"20077"
"350",0.2268,0.581,0.5957,0.3279,0.335,"20079"
"351",0.221,0.1662,0.4836,0.0576,0.1118,"20083"
"352",0.2535,0.886,0.3878,0.0987,0.2694,"20085"
"353",0.1952,0.4594,0.1057,0.0172,0.0548,"20087"
"354",0.1236,0.4241,0.1484,0.0312,0.0513,"20095"
"355",0.2328,0.3088,0.3228,0.4664,0.258,"20097"
"356",0.5513,0.9322,0.3289,0.602,0.6392,"20099"
"357",0.1408,0.5253,0.1936,0.0025,0.0303,"20101"
"358",0.1248,0.4257,0.5084,0.3308,0.2404,"20103"
"359",0.2459,0.6094,0.0471,0.1146,0.1322,"20105"
"360",0.5564,0.9733,0.0716,0.2082,0.4478,"20107"
"361",0.1111,0.4776,0.3649,0.0993,0.1296,"20109"
"362",0.5596,0.1993,0.8217,0.9379,0.7322,"20111"
"363",0.1204,0.3448,0.1468,0.2057,0.1067,"20113"
"364",0.2831,0.3661,0.1229,0.2327,0.1771,"20115"
"365",0.2035,0.5578,0.1111,0.1191,0.1264,"20117"
"366",0.3895,0.6753,0.787,0.0866,0.3717,"20119"
"367",0.028,0.2824,0.1229,0.0634,0.0258,"20121"
"368",0.3131,0.7125,0.1016,0.3661,0.2844,"20123"
"369",0.6054,0.9647,0.66,0.6571,0.8029,"20125"
"370",0.2188,0.7227,0.3607,0.1834,0.2436,"20127"
"371",0.0854,0.4435,0.0965,0.2041,0.0962,"20131"
"372",0.4484,0.9784,0.3633,0.6702,0.658,"20133"
"373",0.3564,0.7676,0.1515,0.1216,0.2341,"20139"
"374",0.1946,0.6619,0.0471,0.0264,0.0723,"20141"
"375",0.1261,0.2089,0.1789,0.0239,0.0271,"20143"
"376",0.1494,0.7383,0.2292,0.348,0.242,"20147"
"377",0.2433,0.2174,0.6167,0.7087,0.3873,"20151"
"378",0.4258,0.5839,0.5323,0.7947,0.5866,"20155"
"379",0.5274,0.3152,0.5571,0.2974,0.4252,"20159"
"380",0.2793,0.6947,0.0592,0.0742,0.142,"20163"
"381",0.3006,0.3945,0.0755,0.0258,0.0783,"20165"
"382",0.364,0.5065,0.3152,0.1315,0.2392,"20167"
"383",0.2717,0.4505,0.6855,0.4947,0.4162,"20169"
"384",0.3943,0.5457,0.8122,0.4588,0.5357,"20173"
"385",0.021,0.8892,0.2174,0.0153,0.0685,"20179"
"386",0.4656,0.9179,0.3044,0.3569,0.4984,"20181"
"387",0.3484,0.504,0.6673,0.0605,0.2777,"20185"
"388",0.2678,0.6221,0.1882,0.2404,0.2223,"20191"
"389",0.1287,0.1063,0.362,0.0952,0.0704,"20193"
"390",0.0226,0.5304,0.0519,0.0796,0.0389,"20195"
"391",0.0701,0.4734,0.177,0.0427,0.0532,"20197"
"392",0.1341,0.7635,0.5097,0.0169,0.143,"20199"
"393",0.2564,0.3649,0.3537,0.0735,0.1481,"20201"
"394",0.7841,0.928,0.2716,0.3674,0.6796,"21003"
"395",0.565,0.6138,0.1789,0.0564,0.2637,"21005"
"396",0.621,0.7326,0.0917,0.3556,0.4459,"21007"
"397",0.8764,0.9067,0.2642,0.5164,0.7761,"21009"
"398",0.6414,0.7437,0.6832,0.1738,0.5561,"21017"
"399",0.7003,0.1627,0.0764,0.4884,0.3866,"21023"
"400",0.3548,0.3521,0.1608,0.064,0.1385,"21029"
"401",0.7201,0.2843,0.1385,0.178,0.3395,"21039"
"402",0.571,0.8316,0.4626,0.4772,0.6061,"21049"
"403",0.5889,0.645,0.219,0.4419,0.4844,"21055"
"404",0.4573,0.8201,0.4769,0.7071,0.6169,"21059"
"405",0.3898,0.4667,0.6215,0.7332,0.5468,"21073"
"406",0.699,0.8169,0.1293,0.148,0.4299,"21079"
"407",0.7678,0.7246,0.6358,0.5801,0.7752,"21083"
"408",0.6217,0.7399,0.0153,0.1544,0.3217,"21089"
"409",0.5946,0.7466,0.2811,0.127,0.3822,"21091"
"410",0.4185,0.7685,0.4995,0.6625,0.5672,"21093"
"411",0.6631,0.5428,0.1102,0.5575,0.5057,"21097"
"412",0.5796,0.9265,0.3158,0.7714,0.7089,"21101"
"413",0.679,0.9093,0.1987,0.2391,0.5274,"21103"
"414",0.6535,0.8255,0.2085,0.433,0.5541,"21107"
"415",0.2879,0.4126,0.4731,0.4343,0.3379,"21117"
"416",0.7131,0.873,0.3391,0.1515,0.5318,"21123"
"417",0.9067,0.7752,0.043,0.7447,0.7522,"21125"
"418",0.6955,0.7042,0.3598,0.2534,0.5287,"21141"
"419",0.3178,0.6422,0.3941,0.5473,0.4153,"21145"
"420",0.6768,0.85,0.0153,0.2251,0.4217,"21149"
"421",0.6946,0.1649,0.3069,0.5899,0.4968,"21151"
"422",0.4013,0.4935,0.014,0.4263,0.2723,"21157"
"423",0.6261,0.6425,0.4645,0.7237,0.6682,"21161"
"424",0.4752,0.2566,0.1936,0.426,0.3178,"21163"
"425",0.3185,0.7338,0.2229,0.2697,0.2895,"21179"
"426",0.0134,0.0968,0.3279,0.1563,0.0395,"21185"
"427",0.6455,0.6476,0.07,0.3177,0.415,"21191"
"428",0.8863,0.8586,0.1789,0.5189,0.742,"21199"
